               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.068878,           0.0083989,           0.0021007,              0.7222,              0.8362,             0.80184,             0.28501,            0.065745,           0.0070837,           0.0034692,            0.006535,            0.006535,            0.006535
                  37,            0.066821,           0.0082261,           0.0027886,             0.71379,              0.8555,             0.76812,             0.29001,             0.06184,           0.0069469,           0.0031921,            0.006436,            0.006436,            0.006436
                  38,            0.063819,            0.007663,           0.0025815,             0.69383,             0.71441,             0.68717,             0.24693,            0.069019,            0.006324,            0.002881,            0.006337,            0.006337,            0.006337
                  39,            0.071771,           0.0078892,           0.0022624,              0.7161,             0.81285,             0.78919,             0.29832,            0.065688,           0.0068076,           0.0029813,            0.006238,            0.006238,            0.006238
                  40,            0.061478,           0.0079541,           0.0025014,             0.79685,             0.81267,             0.77809,             0.26444,            0.061834,            0.007101,           0.0030435,            0.006139,            0.006139,            0.006139
                  41,            0.064397,           0.0081965,           0.0021255,             0.69161,             0.81273,             0.76214,             0.21627,            0.058153,           0.0073164,           0.0030951,             0.00604,             0.00604,             0.00604
                  42,            0.066232,           0.0077978,           0.0026352,             0.65797,              0.6833,             0.68178,             0.24598,            0.069369,           0.0066251,           0.0032651,            0.005941,            0.005941,            0.005941
                  43,            0.062068,           0.0083583,           0.0023398,             0.74744,             0.72357,             0.74447,             0.26453,            0.066779,           0.0067008,           0.0028502,            0.005842,            0.005842,            0.005842
                  44,            0.061768,           0.0080428,           0.0022904,              0.7829,             0.82775,             0.81096,             0.26259,            0.062107,           0.0067404,           0.0029631,            0.005743,            0.005743,            0.005743
                  45,            0.062909,           0.0075911,           0.0029698,             0.78452,             0.80338,             0.83033,             0.28236,            0.061624,           0.0069188,           0.0029806,            0.005644,            0.005644,            0.005644
                  46,            0.061043,           0.0079069,           0.0023176,             0.76596,             0.76657,             0.80626,             0.30569,            0.059605,           0.0069415,           0.0028187,            0.005545,            0.005545,            0.005545
                  47,            0.060682,           0.0083266,           0.0024611,             0.81024,             0.81385,             0.83663,             0.29173,            0.054351,           0.0068897,           0.0028164,            0.005446,            0.005446,            0.005446
                  48,            0.055307,           0.0081862,           0.0015192,             0.85035,             0.78359,             0.86971,             0.32469,            0.057767,           0.0067921,           0.0026674,            0.005347,            0.005347,            0.005347
                  49,            0.058747,           0.0076392,           0.0016485,             0.75351,             0.82995,             0.81678,             0.31756,            0.058382,           0.0066632,           0.0025525,            0.005248,            0.005248,            0.005248
                  50,            0.054963,           0.0074513,           0.0030496,             0.73814,              0.7547,             0.80617,             0.32442,             0.06219,           0.0066388,           0.0029854,            0.005149,            0.005149,            0.005149
